"plot","tree","species","dbh","height"
1,1,"LP",128,79
1,2,"DF",205,96
1,3,"DF",163,82
1,4,"PP",220,102
1,5,"DF",134,0
1,6,"DF",124,0
1,7,"DF",57,0
2,1,"DF",102,66
2,2,"PP",166,71
2,3,"LP",80,64
2,4,"DF",221,0
3,1,"LP",127,73
3,2,"DF",188,75
3,3,"DF",134,39
3,4,"LP",47,0
3,5,"DF",167,0
3,6,"LP",104,0
4,1,"GF",101,42
4,2,"PP",83,37
4,3,"PP",85,42
4,4,"PP",203,0
5,1,"DF",203,97
5,2,"DF",243,122
5,3,"DF",224,97
5,4,"DF",214,0
5,5,"DF",163,0
5,6,"DF",142,0
5,7,"DF",157,0
6,1,"DF",235,95
6,2,"DF",156,90
6,3,"DF",245,93
6,4,"GF",264,0
6,5,"DF",171,0
7,1,"GF",178,92
7,2,"WL",194,113
7,3,"GF",245,0
7,4,"DF",272,121
7,5,"DF",303,0
8,1,"DF",278,98
8,2,"WL",322,133
8,3,"GF",211,82
9,1,"GF",198,94
9,2,"GF",172,89
9,3,"GF",215,105
9,4,"GF",96,68
10,1,"GF",57,47
10,2,"WC",300,108
10,3,"WC",236,92
10,4,"GF",45,0
10,5,"GF",49,0
11,1,"GF",116,58
11,2,"GF",136,61
12,1,"WC",181,90
12,2,"WC",220,74
12,3,"GF",185,108
12,4,"WC",173,0
12,5,"GF",186,0
12,6,"GF",173,0
13,1,"DF",219,108
13,2,"GF",190,92
13,3,"DF",110,0
13,4,"DF",220,0
13,5,"DF",144,0
13,6,"GF",80,52
13,7,"GF",58,0
13,8,"DF",90,0
13,9,"DF",189,0
14,1,"LP",106,94
15,1,"DF",110,74
15,2,"PP",201,94
15,3,"DF",79,67
15,4,"DF",95,0
15,5,"DF",119,0
15,6,"DF",72,0
15,7,"DF",130,75
15,8,"PP",157,94
15,9,"PP",112,0
16,1,"DF",152,79
16,2,"GF",151,92
16,3,"DF",184,95
16,4,"DF",102,0
16,5,"DF",63,0
16,6,"DF",76,0
16,7,"DF",219,0
16,8,"DF",202,0
16,9,"DF",93,0
17,1,"PP",154,69
17,2,"WL",352,125
18,1,"GF",88,61
18,2,"GF",83,64
18,3,"DF",198,95
18,4,"GF",74,0
19,1,"GF",170,75
19,2,"GF",213,95
20,1,"GF",98,69
20,2,"GF",96,62
20,3,"GF",87,75
21,1,"DF",217,125
21,2,"GF",188,115
21,3,"WC",171,85
21,4,"WC",285,89
21,5,"WC",195,0
21,6,"DF",230,0
21,7,"GF",252,0
22,1,"GF",114,75
22,2,"GF",65,59
22,3,"GF",100,0
22,4,"LP",61,66
22,5,"LP",81,69
22,6,"LP",112,69
22,7,"LP",114,0
22,8,"LP",77,0
22,9,"LP",101,0
23,1,"DF",248,135
23,2,"DF",86,44
23,3,"DF",154,0
23,4,"PP",261,125
23,5,"PP",185,0
23,6,"DF",224,0
24,1,"GF",111,51
24,2,"PP",217,115
24,3,"GF",114,59
25,1,"DF",183,89
25,2,"DF",177,89
25,3,"GF",170,80
25,4,"GF",167,0
26,1,"PP",233,95
26,2,"LP",82,70
26,3,"LP",81,70
27,1,"DF",201,75
27,2,"DF",81,62
27,3,"DF",110,79
27,4,"DF",75,52
27,5,"DF",266,0
27,6,"DF",92,0
27,7,"GF",183,92
27,8,"DF",122,0
28,1,"DF",79,66
28,2,"PP",176,82
28,3,"DF",78,54
28,4,"DF",54,0
28,5,"PP",226,0
28,6,"DF",79,0
28,7,"DF",177,0
28,8,"LP",110,72
29,1,"GF",108,79
29,2,"GF",97,82
29,3,"GF",96,0
29,4,"GF",67,0
29,5,"DF",85,0
29,6,"GF",139,69
30,1,"GF",40,46
30,2,"DF",145,85
30,3,"GF",96,0
30,4,"DF",74,59
30,5,"DF",60,0
31,1,"DF",522,107
31,2,"GF",91,59
31,3,"GF",74,46
31,4,"DF",268,0
31,5,"GF",67,0
32,1,"GF",139,92
33,1,"PP",116,72
33,2,"PP",209,95
33,3,"PP",142,75
33,4,"WL",172,0
33,5,"DF",196,0
34,1,"DF",91,44
34,2,"DF",50,33
35,1,"DF",94,69
35,2,"WL",252,121
35,3,"WL",329,0
35,4,"DF",151,0
35,5,"DF",136,0
35,6,"GF",148,59
36,1,"DF",257,89
36,2,"DF",217,82
36,3,"PP",113,43
36,4,"PP",148,0
36,5,"DF",197,66
36,6,"DF",243,0
37,1,"DF",85,63
37,2,"DF",168,90
37,3,"DF",171,85
37,4,"DF",199,0
38,1,"LP",87,60
38,2,"GF",65,41
38,3,"WL",156,69
39,1,"LP",88,71
39,2,"LP",67,59
39,3,"LP",71,63
39,4,"LP",49,0
39,5,"LP",57,0
39,6,"LP",76,0
39,7,"LP",87,0
40,1,"LP",81,66
40,2,"LP",89,59
40,3,"LP",77,69
40,4,"LP",56,0
40,5,"DF",155,73
41,1,"WL",132,92
41,2,"GF",79,57
41,3,"LP",143,77
41,4,"GF",119,67
41,5,"DF",96,0
41,6,"GF",131,0
41,7,"GF",71,0
41,8,"GF",86,0
41,9,"WL",87,0
42,1,"WC",82,37
42,2,"WC",100,44
43,1,"DF",374,108
43,2,"DF",250,89
43,3,"PP",136,70
43,4,"LP",129,70
44,1,"WC",63,82
44,2,"WC",94,0
44,3,"WC",90,0
44,4,"WL",116,0
44,5,"WC",74,0
44,6,"WC",96,50
44,7,"PP",139,79
45,1,"DF",85,50
45,2,"DF",124,78
45,3,"GF",85,60
45,4,"DF",88,0
46,1,"GF",83,56
46,2,"GF",71,52
46,3,"DF",82,51
47,1,"LP",106,82
47,2,"WC",350,98
47,3,"GF",140,95
47,4,"GF",124,0
47,5,"GF",170,0
47,6,"GF",75,0
48,1,"LP",110,85
48,2,"WC",140,66
48,3,"WC",141,0
48,4,"WC",228,0
48,5,"LP",103,0
48,6,"DF",62,52
48,7,"LP",101,0
48,8,"ES",137,91
49,1,"LP",143,60
49,2,"DF",169,77
50,1,"DF",265,97
50,2,"PP",150,83
50,3,"DF",165,86
50,4,"DF",190,0
50,5,"DF",161,0
50,6,"PP",141,0
51,1,"DF",254,121
51,2,"DF",200,98
51,3,"DF",95,82
51,4,"DF",126,0
51,5,"DF",166,0
51,6,"DF",295,121
52,1,"DF",120,43
52,2,"DF",242,95
52,3,"DF",210,90
52,4,"DF",83,52
53,1,"PP",82,47
54,1,"PP",220,107
54,2,"PP",230,97
54,3,"DF",244,102
55,1,"DF",227,79
55,2,"DF",147,67
55,3,"DF",173,82
55,4,"DF",274,99
56,1,"WL",203,89
56,2,"WC",321,102
57,1,"DF",247,97
58,1,"PP",111,74
58,2,"PP",72,62
58,3,"PP",166,89
59,1,"DF",144,72
59,2,"DF",180,102
59,3,"PP",140,90
59,4,"PP",265,0
60,1,"PP",155,75
60,2,"PP",127,62
60,3,"PP",227,89
61,1,"DF",224,108
61,2,"DF",150,89
61,3,"DF",137,85
61,4,"GF",376,108
62,1,"DF",100,62
62,2,"DF",334,120
62,3,"PP",251,113
62,4,"PP",233,0
62,5,"PP",202,0
62,6,"DF",247,0
63,1,"PP",145,79
63,2,"PP",135,46
64,1,"PP",314,121
64,2,"PP",146,75
64,3,"PP",250,105
65,1,"PP",192,92
65,2,"PP",252,98
65,3,"DF",96,71
65,4,"PP",168,0
66,1,"DF",142,56
66,2,"DF",138,59
67,1,"PP",177,82
67,2,"PP",172,89
67,3,"PP",195,75
67,4,"PP",179,0
68,1,"PP",94,62
68,2,"PP",173,82
68,3,"PP",91,0
68,4,"PP",97,66
68,5,"DF",92,40
68,6,"PP",111,0
68,7,"PP",124,59
68,8,"PP",63,0
69,1,"PP",212,92
69,2,"DF",134,75
69,3,"PP",110,72
69,4,"PP",65,0
69,5,"PP",180,0
69,6,"DF",276,0
70,1,"PP",234,118
70,2,"PP",222,118
70,3,"PP",206,107
70,4,"PP",252,0
71,1,"GF",255,89
71,2,"DF",102,72
71,3,"DF",87,66
71,4,"DF",111,0
71,5,"DF",80,0
71,6,"DF",98,0
72,1,"PP",173,69
72,2,"PP",246,82
72,3,"PP",232,98
73,1,"PP",161,92
73,2,"PP",232,98
74,1,"PP",182,0
74,2,"DF",87,43
74,3,"DF",104,56
74,4,"PP",182,0
75,1,"PP",180,82
75,2,"PP",134,0
75,3,"PP",177,0
75,4,"PP",115,82
75,5,"PP",203,85
76,1,"PP",204,92
76,2,"PP",126,60
76,3,"PP",188,75
76,4,"PP",63,0
77,1,"PP",97,75
77,2,"PP",104,75
77,3,"PP",121,80
77,4,"PP",170,0
77,5,"PP",147,0
77,6,"PP",124,0
77,7,"PP",134,0
78,1,"DF",199,78
78,2,"PP",222,79
78,3,"DF",227,75
79,1,"PP",207,95
79,2,"PP",91,39
79,3,"PP",193,108
79,4,"DF",324,98
80,1,"PP",189,85
80,2,"PP",163,75
80,3,"PP",65,38
81,1,"GF",204,98
82,1,"DF",149,59
83,1,"PP",172,90
83,2,"PP",137,74
83,3,"PP",138,82
83,4,"PP",138,0
83,5,"PP",191,0
83,6,"PP",122,0
84,1,"PP",264,86
84,2,"PP",111,66
84,3,"PP",148,80
84,4,"PP",71,0
84,5,"PP",219,0
84,6,"PP",206,0
84,7,"PP",165,0
84,8,"PP",136,0
84,9,"PP",143,0
85,1,"PP",145,62
85,2,"PP",239,100
86,1,"PP",183,72
86,2,"PP",223,85
86,3,"PP",254,75
87,1,"PP",181,78
87,2,"PP",240,81
87,3,"PP",187,64
87,4,"PP",194,0
88,1,,,
89,1,"GF",69,41
89,2,"GF",124,72
90,1,"PP",96,44
91,1,"PP",93,80
91,2,"PP",152,82
91,3,"PP",220,87
91,4,"PP",141,0
91,5,"PP",103,0
91,6,"PP",226,0
92,1,"PP",206,72
92,2,"PP",101,62
92,3,"PP",121,62
92,4,"PP",150,72
92,5,"PP",86,0
92,6,"PP",120,0
93,1,"PP",323,115
94,1,"PP",251,92
95,1,"PP",129,69
95,2,"PP",137,69
96,1,"DF",62,52
96,2,"DF",111,75
96,3,"DF",169,77
96,4,"PP",206,84
97,1,"DF",124,43
97,2,"DF",64,30
98,1,"PP",108,75
98,2,"PP",102,75
98,3,"PP",299,95
98,4,"PP",61,0
98,5,"PP",152,64
98,6,"PP",223,0
99,1,"PP",226,79
99,2,"PP",188,75
99,3,"PP",207,85
99,4,"PP",215,85
100,1,"PP",185,89
100,2,"PP",201,72
100,3,"PP",197,75
100,4,"PP",54,0
100,5,"PP",199,0
100,6,"PP",184,0
100,7,"PP",181,0
101,1,"PP",281,95
102,1,"PP",293,102
103,1,"PP",183,66
103,2,"PP",233,72
104,1,"PP",204,79
105,1,"DF",102,43
105,2,"DF",78,39
105,3,"PP",102,66
105,4,"DF",91,0
105,5,"PP",124,0
106,1,"PP",153,56
106,2,"PP",89,79
106,3,"PP",127,61
106,4,"PP",122,66
106,5,"PP",118,0
106,6,"PP",191,0
106,7,"PP",158,0
107,1,"PP",129,77
107,2,"PP",187,82
107,3,"PP",274,87
107,4,"PP",227,0
107,5,"PP",183,0
108,1,"PP",248,102
108,2,"PP",238,103
108,3,"PP",202,100
108,4,"PP",176,0
109,1,"PP",224,85
109,2,"PP",221,105
109,3,"PP",252,97
110,1,"GF",103,71
110,2,"GF",107,79
110,3,"GF",103,75
110,4,"GF",41,0
111,1,"GF",144,74
111,2,"GF",119,54
111,3,"GF",112,74
111,4,"GF",137,0
111,5,"GF",146,0
112,1,"PP",83,67
112,2,"PP",202,90
112,3,"PP",154,79
112,4,"PP",100,0
112,5,"PP",209,0
112,6,"PP",209,0
112,7,"PP",120,0
112,8,"PP",191,0
112,9,"PP",117,0
113,1,"PP",169,73
113,2,"PP",136,79
113,3,"PP",150,76
113,4,"PP",137,0
113,5,"PP",225,0
114,1,,,
