names,number,annotation,adduct,mz,mzmin,mzmax,rt,Rtminutes,rtmin,rtmax,npeaks,mzXML,t01,t02,t03,t11,t12,t13,t21,t22,t23,t31,t32,t33,t41,t42,t43,t51,t53,t61,t62,t63,t71,t72,t73,t81,t82,t83,t91,t92,t93,t101,t102,t103,t111,isotopes,pcgroup,pc_nocorr,CouA,MSnEluc,formula
M747.28T681.6,67,pinoresinol_diglucoside_13C16_AA,[M+Ac-H]-,747.2795365,747.2787643,747.2804343,681.6007464,11.36001244,660.1182727,694.5326268,19,19,0,0,0,0,0,0,3996.076721,792.7592654,746.9907349,0,13009.94899,11452.18966,13143.82757,20366.45284,14070.4834,0,3521.728562,23968.40328,134807.1673,10356.18464,95064.32859,50587.16348,34625.16408,55674.74853,0,77255.65225,8520.316921,42751.12336,51993.75691,134674.274,89754.18828,16265.86657,58831.86592,,2277,282,2,NA,
M744.269T681.6,67,pinoresinol_diglucoside_13C3_AA,[M+Ac-H]-,744.2687,NA,NA,681.6007464,11.36001244,660.1182727,694.5326268,NA,NA,0,0,0,0,0,0,0,16243.47668,10782.76718,0,0,21249.96924,0,0,0,19690.85599,0,0,74222.3693,0,83779.19805,44601.22809,0,34490.9914,0,59777.39273,0,0,87650.39525,13285.89689,59855.9796,0,0,,NA,NA,1,NA,
M741.259T683.43,67,pinoresinol_diglucoside_AA,[M-H]-,741.2586997,741.2586997,741.2596718,683.429155,11.39048592,660.1182727,718.907399,38,33,671640.4093,530068.6786,1711455.882,1442752.287,961644.4421,1508010.744,574752.5519,817284.7194,563340.0066,109055.1343,997392.213,638986.1755,387540.5316,463315.5337,511393.664,465109.2903,305331.1316,1683445.943,732382.3221,234451.8617,916163.2546,715029.6417,705121.2703,425586.2082,635359.6971,422787.1237,546081.7532,764479.7314,710952.8599,710925.2097,699119.3283,127280.5708,383000.5334,,1196,28,0,NA,
M519.187T835.82,22,pinoresinol_monoglucoside,[M-H]-,519.1865318,519.1861268,519.1865318,835.8173186,13.93028864,830.8504401,848.0539401,30,30,91453.77052,98665.93264,560193.5168,135270.4376,103669.2399,769703.9119,77775.65828,60603.36157,109471.5179,11336.82986,146381.9814,118088.0414,122155.69,100571.4104,72902.70756,43786.46339,159522.5031,845687.7271,96973.3408,36192.17093,251150.7611,133714.7891,332980.4774,91711.66135,113840.4687,70241.45699,88593.62609,152492.359,116457.1651,127934.6432,174213.4177,29255.10718,275524.2148,,106,106,0,NA,
M522.196T835.82,22,pinoresinol_monoglucoside_13C3,[M-H]-,522.1960454,522.1954715,522.1966137,835.8173186,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,8243.084294,5692.228388,11441.9852,2831.819,8287.817273,4979.982154,8919.769085,61432.43495,25048.83815,2232.980805,88328.54313,37345.13234,51325.74729,38094.14779,20564.40045,34023.86047,45106.82381,48627.67608,50428.7431,46079.31814,82778.92074,12984.47873,51082.61525,,NA,NA,1,NA,
M525.207T835.18,22,pinoresinol_monoglucoside_13C6,[M-H]-,525.2065702,525.2056798,525.2067693,835.1781386,13.91963564,830.8504401,843.2514865,18,18,0,0,0,0,0,0,0,0,0,0,14542.56373,3962.310753,19569.2202,26323.18089,18308.95487,9997.93488,6530.139872,26752.40586,44410.47294,27930.84391,176413.9241,97755.75376,105679.2166,90060.48807,73102.38721,38137.60907,36035.07312,24832.6856,43921.44886,47287.10219,90548.68184,14581.215,32002.5862,,2351,325,2,NA,
M341.087T373.13,6,caffeic_acid_glucoside,[M-H]-,341.0870749,341.0849603,341.0871875,373.1281656,6.218802759,367.9210768,380.4148162,22,22,5828.84166,0,116960.1913,2574.824788,2629.577863,42285.62655,14096.49849,7886.390705,13991.04387,0,8084.347107,15069.0305,49508.65231,7353.2336,2938.40301,3914.731985,23338.5934,135605.9778,1360.808604,2747.984934,74949.55694,43541.73263,116669.4434,24557.39631,30762.28174,10503.7753,11719.93755,11267.44802,40145.40563,41057.52237,0,6113.070756,0,[4][M]+,421,421,0,TRUE,C15H17O9
M344.097T373.55,6,caffeic_acid_glucoside_13C3,[M-H]-,344.0971416,344.0971416,344.0972745,373.550664,6.2258444,369.4292178,380.4148162,25,25,0,0,0,5179.741911,3756.95868,13320.58176,12370.95072,6098.33121,14685.66868,6446.467688,27024.13205,26578.78232,26855.31192,20193.67218,13416.50768,30214.82563,27189.01842,39344.18676,77908.40099,13355.38641,41256.85026,139924.3588,104337.6379,137286.8815,93099.63275,161871.062,120361.3294,83726.94651,177100.825,8738.797218,0,7450.947637,0,[4][M+1]+,421,421,1,TRUE,C15H17O9
M473.072T561.16,17,chicoric_acid,[M-H]-,473.0718119,473.0713094,473.0718119,561.1557039,9.352595064,545.8647314,580.490895,33,33,365773.5674,1290374.983,3177783.794,848760.6441,622375.4974,4657891.998,1005043.35,198564.5764,3464452.871,54492.4477,2194910.564,1674230.078,410066.2421,219647.3303,421450.5677,219922.0717,719390.322,842011.8741,511770.7908,63947.82956,871251.5066,1062187.952,2290351.273,1174881.499,1534813.162,672791.1356,719816.3286,1741547.392,1355301.241,1592236.802,2115190.068,132241.2691,1935110.251,,1114,18,0,TRUE,C22H17O12
M476.082T561.57,17,chicoric_acid_13C3,[M-H]-,476.081795,476.0792691,476.0820155,561.5744611,9.359574352,549.865095,580.490895,25,25,0,0,0,2157.388334,0,20112.52028,16484.88534,0,38659.90142,0,24420.67901,21028.50914,12261.54442,7339.998594,14082.68886,19148.45312,40031.53407,20492.12645,28343.79333,0,47908.02677,57175.55974,151660.9285,140168.0342,101892.5832,76533.30914,114314.8741,103356.1521,220188.8796,417080.7265,223191.6148,32484.25397,388649.5792,,1432,51,1,TRUE,C22H17O12
M479.092T560.21,17,chicoric_acid_13C6,[M-H]-,479.0918315,479.0906593,479.0918315,560.2103265,9.336838775,556.1670134,580.490895,17,17,0,0,0,0,0,0,692.1622251,0,0,0,0,0,0,5084.147931,6706.316822,9328.176991,34409.22538,0,19656.67894,0,28096.79521,20363.7842,122434.8022,176137.7823,32267.57698,30868.24588,108496.5691,66613.364,104764.6526,239486.5526,141393.6151,13528.32363,269595.0254,,167,167,2,TRUE,C22H17O12
M404.154T535.23,10,coniferin_13C3_AA,[M+Ac-H]-,404.1543842,404.1543842,404.1553739,535.2264006,8.920440009,527.3663275,565.8245494,20,20,0,0,0,0,0,0,0,0,3733.227354,0,0,18033.2511,22967.89466,17192.51198,2842.811917,57848.52047,17611.66292,0,9794.379913,6233.146194,0,19379.49991,6209.967582,87909.58817,16528.08184,7365.80809,65588.34797,49489.31858,44524.183,146670.5007,0,23292.17549,79090.20446,,1788,111,1,NA,C18H25O10
M401.145T536.79,10,coniferin_AA,[M+Ac-H]-,401.1447158,401.1446883,401.1449291,536.7858263,8.946430439,527.6450147,565.8245494,33,33,251027.4108,83629.46442,226034.0747,270512.071,240051.1322,546448.7032,234718.9693,330264.2918,135262.9168,436463.4877,61418.04354,580884.4641,297739.4586,272470.4891,282069.4276,345376.5394,180344.7095,923642.0958,163157.0016,101375.8712,84683.73971,332133.5018,182434.3522,172747.28,234599.8146,63300.12638,240100.5988,174670.7495,315956.6446,466190.6377,77363.60559,137942.4239,615513.8431,,1050,10,0,NA,C18H25O10
M163.04T576.32,1,coumaric_acid,[M-H]-,163.0398094,163.0397895,163.0402779,576.3233391,9.605388985,570.519111,603.4787063,26,26,2328.034648,0,24417.14722,1052.857429,13063.33613,0,15480.6092,5418.382067,20156.43059,1539.639413,12100.42018,18279.05515,16508.61586,13520.41781,10427.61923,8407.576191,35827.62085,94104.12218,17034.01026,7484.453138,74709.20918,14242.67513,52243.74382,14515.3207,15028.65186,6116.895365,15660.88718,14005.06141,16271.94285,1699.228329,0,0,10215.0072,[1][M]+,145,145,0,TRUE,C9H7O3
M166.05T576.06,1,coumaric_acid_13C,[M-H]-,166.0498575,166.0496505,166.0498924,576.0583405,9.600972341,568.8654048,603.4787063,28,28,0,0,0,262533.6734,253647.622,89500.8893,171258.0111,242918.6116,293807.417,295654.2473,30627.225,184387.7368,393187.6231,250591.1422,186198.6025,61065.38667,408353.102,105121.4583,500717.5494,255917.0071,45288.51963,56784.45696,387981.6603,85723.98085,21536.5915,52499.5767,20190.25449,23552.475,107612.2142,1476.642241,28580.25167,0,28470.18164,[1][M+1]+,145,145,1,TRUE,C9H7O3
M388.123T415.33,8,coumaric_acid_glucoside_13C3_AA,[M+Ac-H]-,388.1233273,388.1233273,388.1233308,415.3269134,6.922115224,407.935881,432.5153954,29,29,0,0,0,19926.22418,28773.22771,106577.5833,54872.10263,61117.01492,45333.88601,54099.97139,72506.58879,100600.0508,158644.5524,102136.622,86912.7105,124799.5784,84351.82172,187916.3206,666509.4398,170538.3087,151659.8449,314253.0871,457315.6634,345903.9814,154004.205,299001.1638,193702.4865,142508.3705,373310.2618,288388.7722,0,70717.84891,104539.6424,[5][M+1]+,203,203,1,TRUE,C17H21O10
M385.113T415.18,8,coumaric_acid_glucoside_AA,[M+Ac-H]-,385.1130911,385.1130911,385.1132622,415.1763158,6.919605264,407.8159077,432.5153954,30,30,12925.50567,6541.819583,173398.5294,2724.741407,31507.444,71176.39518,88344.96222,12664.75498,19461.95804,10906.52151,19119.24522,58196.31707,293901.1217,40603.96464,17444.46868,32438.9549,52341.14881,212397.3845,29639.80775,34871.38354,238304.3086,83765.6214,146598.4557,33878.69409,90353.41852,88190.73812,59700.63268,29605.76,74315.22489,178789.3785,0,37102.17956,17374.52634,[5][M]+,203,203,0,TRUE,C17H21O10
M547.166T372.5,23,coumaric_acid_glucoside_glucose_ester,[M-H]-,547.1658832,547.1651234,547.1658832,372.5032146,6.208386911,363.5600552,378.03772,17,17,0,0,46452.12008,0,0,21805.50409,7337.724015,0,2719.556261,0,4392.625967,14660.59684,28251.15732,739.7520325,488.3008501,0,19547.95345,14648.54048,13947.31289,0,50067.15729,10065.90901,42037.81444,20102.53183,19520.99185,10636.56991,1142.047695,0,33590.60367,81142.97256,0,0,35876.41263,,655,655,0,NA,
M550.175T369.34,23,coumaric_acid_glucoside_glucose_ester_13C3,[M-H]-,550.1753225,550.1734886,550.1753225,369.3352898,6.155588163,349.4280188,379.2306198,23,17,0,5311.679304,54400.8126,0,687.6459671,110184.6361,5362.444662,4823.139116,43127.67666,3037.875711,33027.2238,4371.830172,42904.65919,15094.67305,10583.51517,9128.569122,28270.2507,92589.64621,248576.5758,25412.44558,117696.2637,116934.9871,372838.2495,197004.9242,70261.35948,99166.13295,83030.45433,2177.376053,275426.538,245206.4125,0,3500.135129,178614.1264,,258,258,1,NA,
M457.077T620.2,14,coumaroyl_caffeoyl_tartaric_acid,[M-H]-,457.0770384,457.0764202,457.0770384,620.2011149,10.33668525,609.8068376,640.1647342,30,30,16144.20835,25010.38225,53564.06126,18220.76635,24061.15198,114527.7049,28774.19566,19846.7657,54522.30362,1019.720831,38611.58387,19592.75228,13798.37815,7114.069303,13308.47406,5875.571122,23973.91058,12476.88549,18332.69125,3149.162565,11877.40743,22582.64051,60545.7673,36171.78805,44914.41449,11267.47542,37194.64399,48482.73715,32221.21087,38110.46853,22133.59998,3316.422078,31997.49037,[8][M]+,486,486,0,NA,C22H17O11
M460.087T619.84,14,coumaroyl_caffeoyl_tartaric_acid_13C3,[M-H]-,460.0865105,460.0863202,460.0867589,619.8379549,10.33063258,615.835885,638.3580576,17,17,0,0,0,0,2377.437573,3453.810601,8973.915379,0,1257.851773,0,12348.69863,0,1110.387,368.768,1011.397,2608.942534,920.79,492.481,9316.863835,0,0,20245.23205,30585.85193,33921.18404,15943.20645,22366.3094,20131.50071,17088.96127,20061.64149,21534.21297,24333.21496,0,11451.16619,[8][M+1]+,486,486,1,NA,C22H17O11
M463.097T620.2,14,coumaroyl_caffeoyl_tartaric_acid_13C6,[M-H]-,463.09688,NA,NA,620.2011149,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1109.838,1537.368,5655.774,269.886,530.757,2115.686,0,966.112,1643.083,2073.991,0,0,,NA,NA,2,NA,C22H17O11
M355.066T215.91,7,coumaroyl_glucaric_acid,[M-H]-,355.0662078,355.0644681,355.0665965,215.9068856,3.598448094,212.1855116,236.8923793,35,33,86097.98671,91235.40955,210167.0844,156984.3119,110193.0565,193892.1644,112475.2697,40764.9416,151389.886,50835.60362,224322.6624,113023.6057,90905.53002,124346.1962,55624.7871,60110.90134,172517.7061,142837.9918,196323.2395,64359.76077,162940.8237,136151.1582,256376.2565,199738.2448,174985.4171,105814.7696,73878.52393,253874.0215,155643.1727,144581.7081,183505.0759,59802.82348,236675.4873,,315,315,0,TRUE,C15H15O10
M358.076T214.84,7,coumaroyl_glucaric_acid_13C3,[M-H]-,358.0763723,358.0740418,358.0767392,214.837755,3.58062925,194.7883567,223.9267426,39,24,0,0,0,2454.194352,0,1395.210214,578.5881354,0,2728.829525,4398.927697,4758.058405,6787.674076,8170.313901,10421.63527,2929.14984,11190.63602,5327.072576,19259.78492,116298.49,14366.79606,16182.22239,9688.1067,54801.19223,51843.45687,15541.64498,24050.21203,11887.5886,9468.611753,75954.89026,34866.19049,53313.14113,14677.69446,60770.05298,,529,529,1,TRUE,C15H15O10
M325.092T530.52,4,coumaroyl_glucose,[M-H]-,325.0923614,325.0920856,325.0923614,530.5233668,8.842056113,507.8360877,545.1052868,19,19,4553.006363,3399.157936,11849.45253,800.1538951,7953.715111,2521.796225,19719.46588,0,0,4365.205033,0,0,22707.02458,6780.33181,4847.298861,3602.247459,11770.51931,1129.088111,11310.06268,3794.086098,19742.57495,9263.637637,8318.668822,6376.181253,5947.364212,10823.08459,0,1607.714736,13421.23638,17494.8542,3177.885729,0,0,,364,364,0,TRUE,C15H17O8
M328.103T528.02,4,coumaroyl_glucose_13C3,[M-H]-,328.1025757,328.0993145,328.1030516,528.0201534,8.800335891,506.7949122,541.015779,49,30,0,0,0,2531.615393,7144.84359,27212.79747,12587.24169,41969.30151,43895.8735,16207.50829,14574.43613,51395.04894,84899.68579,17537.45317,15070.67514,25020.14216,22254.82912,7379.274461,69686.8902,23417.09912,19234.46644,45502.56632,45252.00021,264488.2438,12788.92659,361114.4504,0,26393.54872,60272.54746,55918.61743,20414.50162,11551.6162,21677.37215,,222,222,1,TRUE,C15H17O8
M295.045T210.44,3,coumaroyl_tartaric_acid,[M-H]-,295.0453547,295.0452601,295.0453547,210.4416676,3.507361127,202.5461824,238.1477734,33,32,72963.9613,61743.13195,54432.45083,74828.87477,73729.3142,75632.87281,69255.33756,42776.69696,76326.50141,28506.36953,91338.20981,76238.49714,46129.38204,61423.97443,43410.59663,51836.31254,83424.69228,38480.15029,65649.98434,30673.71893,95497.27307,50893.96367,68674.90628,106989.5866,129041.0071,79153.34471,66382.73365,116853.4194,86548.17965,64912.3857,110003.5409,21231.48084,0,[2][M]+,453,453,0,TRUE,C13H11O8
M295.045T186.07,2,coumaroyl_tartaric_acid,[M-H]-,295.0453547,295.0453547,295.0453584,186.0671715,3.101119525,179.8445178,192.9466912,32,32,54252.0067,66373.4939,80676.96154,77689.79625,65382.69821,110244.1572,88716.68396,41038.82301,88785.52186,20482.54947,98177.89926,68897.8117,42032.01598,62085.06789,38548.056,40417.21286,90556.24068,57178.03811,74673.21151,26167.87405,105750.1581,55493.39926,93810.53467,115938.4119,139510.9587,58508.73296,68685.75042,170243.751,99318.46882,83918.0186,0,10735.61653,109684.9784,[3][M]+,393,393,0,TRUE,C13H11O8
M298.055T186.08,2,coumaroyl_tartaric_acid_13C3,[M-H]-,298.0553564,298.0551608,298.0556991,186.084078,3.101401299,181.5997476,191.9796246,28,28,0,0,0,14901.27231,15437.59791,28378.54321,23369.47436,8085.746331,13680.0408,11384.34469,41104.39503,17188.73432,16214.77983,23187.80278,19784.92401,31464.30171,32863.15366,26457.79577,94371.38265,29231.16902,45227.42125,51694.27177,122064.9028,119688.9634,40230.89434,38078.02527,38307.07971,43512.76732,58134.23568,27006.14952,0,0,15533.60493,[3][M+1]+,393,393,1,TRUE,C13H11O8
M298.055T211.03,3,coumaroyl_tartaric_acid_13C3,[M-H]-,298.0553118,298.0546226,298.0556991,211.0289644,3.517149407,202.5461824,214.0135916,25,25,0,0,0,15164.42692,17249.29631,19610.11857,19283.31929,10596.8512,8820.451966,12954.765,38967.70258,18059.62117,18198.23356,24426.4751,19956.49322,37090.50927,26642.52475,17086.02008,75504.07766,36556.91792,28101.40278,49616.46168,78553.05425,104557.1497,37582.96473,55263.86662,34488.24449,29031.45615,49577.53132,13872.97426,51465.67253,3302.48958,0,[2][M+1]+,453,453,1,TRUE,C13H11O8
